site_code,pft_f1,pft_c1,pft_f2,pft_c2,pft_f3,pft_c3,pft_f4,pft_c4,pft_f5,pft_c5
US-xAB,10.99,1,72.53,2,3.3,7,6.59,8,6.59,13
US-xBA,47.92,0,1,2,40.06,11,11.02,12,0,0
US-xBR,43.43,2,54.54,8,2.02,13,0,0,0,0
US-xBL,14.1,1,76.92,7,6.41,13,2.56,14,0,0
US-xBN,3,0,54,2,1,8,17,11,25,12
US-xCL,7.23,0,8.43,1,3.61,7,42.17,13,38.55,14
US-xCP,36.36,0,63.64,13,0,0,0,0,0,0
US-xDC,14.63,0,2.44,1,2.44,7,80.49,13,0,0
US-xDJ,19,0,48,2,20,11,13,12,0,0
US-xDL,50,1,30.23,7,11.63,13,8.14,14,0,0
US-xDS,52.63,1,7.89,7,17.11,13,22.37,14,0,0
US-xGR,38.55,1,39.76,7,15.66,13,6.02,14,0,0
PR-xGU,12.37,4,59.79,6,27.84,14,0,0,0,0
US-xHA,25.77,1,72.16,7,2.06,13,0,0,0,0
US-xHL,16,0,18,2,55,11,11,12,0,0
US-xJE,63.16,1,15.79,7,10.53,13,10.53,14,0,0
US-xJR,68.99,0,27,10,2,13,3,14,0,0
US-xKA,4.92,1,63.44,13,32.64,14,0,0,0,0
US-xKZ,4.92,1,63.44,13,32.64,14,0,0,0,0
PR-xLA,14.29,4,35.71,6,50,14,0,0,0,0
US-xLE,74.49,1,13.27,7,8.16,13,4.08,14,0,0
US-xML,12.79,1,84.88,7,2.32,13,0,0,0,0
US-xMB,44.57,0,22.83,10,1.09,11,1.09,12,30.43,13
US-xNW,12.24,0,45.92,2,22.45,8,1.02,11,18.37,12
US-xNG,12.53,0,87.46,13,0,0,0,0,0,0
US-xAE,43.18,0,6.82,7,34.09,13,15.91,14,0,0
US-xNQ,37.35,0,8.43,10,2.41,12,49.4,13,2.41,14
US-xRN,19.72,1,26.76,7,38.03,13,15.49,14,0,0
US-xSB,2.33,0,60.53,1,11.01,7,12.38,13,13.76,14
US-xPU,37.47,0,39.98,1,7.18,6,12.3,13,3.08,14
US-xRM,12.24,0,45.92,2,22.45,8,1.02,11,18.37,12
US-xSC,8.99,1,87.64,7,3.37,13,0,0,0,0
US-xSE,3.8,1,53.16,7,32.91,13,10.13,14,0,0
US-xSJ,2.4,0,9.64,1,2.4,7,85.54,13,0,0
US-xSP,5.05,0,26.26,1,49.49,2,9.09,12,10.1,13
US-xSR,27.37,0,4.21,1,4.21,7,52.63,10,12,13
US-xST,51.02,1,48.98,7,0,0,0,0,0,0
US-xSL,33.33,0,62.5,13,4.17,14,0,0,0,0
US-xTA,75.53,1,18.09,7,3.19,13,3.19,14,0,0
US-xTE,5.05,0,26.26,1,49.49,2,9.09,12,10.1,13
US-xTL,16,0,1,2,1,8,73,11,9,12
US-xTR,19.48,1,51.95,7,28.57,13,0,0,0,0
US-xUK,60.87,13,39.13,14,0,0,0,0,0,0
US-xUN,18.18,1,26.26,2,25.25,7,30.3,8,0,0
US-xWD,14.63,0,2.44,1,2.44,7,80.49,13,0,0
US-xWR,74.23,1,18.56,2,5.15,7,1.03,8,1.03,13
US-xYE,15.46,0,39.17,2,5.15,8,1.03,11,39.18,12
