site_code,soil_depth,n_layers,layer_depth,layer_sand.,layer_clay.
US-xAB,-999,1,-999,23.94,35.95
US-xBA,-999,1,-999,54.84,16.97
US-xBR,-999,1,-999,72.59,0.74
US-xBL,-999,1,-999,27.73,33.35
US-xBN,-999,1,-999,26.38,8.88
US-xCL,-999,1,-999,49.05,17.16
US-xCP,-999,1,-999,60.11,20.91
US-xDC,-999,1,-999,32.56,27.29
US-xDJ,-999,1,-999,70.19,5.41
US-xDL,-999,1,-999,25.04,29.04
US-xDS,-999,1,-999,96.62,0.35
US-xGR,-999,1,-999,52.26,19.11
PR-xGU,-999,1,-999,7.48,47.53
US-xHA,-999,1,-999,80.98,4.38
US-xHL,-999,1,-999,33.42,12.75
US-xJE,-999,1,-999,80.09,9.78
US-xJR,-999,1,-999,79.43,10.52
US-xKA,-999,1,-999,3.48,39.76
US-xKZ,-999,1,-999,7.38,35.34
PR-xLA,-999,1,-999,34.12,42.22
US-xLE,-999,1,-999,23.6,31.79
US-xML,-999,1,-999,57.71,20.55
US-xMB,-999,1,-999,78.89,8.35
US-xNW,-999,1,-999,74.32,5.07
US-xNG,-999,1,-999,26.22,26.83
US-xAE,-999,1,-999,18.47,18.06
US-xNQ,-999,1,-999,41.62,12.54
US-xRN,-999,1,-999,21.59,40.95
US-xSB,-999,1,-999,97.19,1.34
US-xPU,-999,1,-999,38.46,12.41
US-xRM,-999,1,-999,81.57,5.08
US-xSC,-999,1,-999,16.66,34.73
US-xSE,-999,1,-999,57.69,22.2
US-xSJ,-999,1,-999,84.21,5.63
US-xSP,-999,1,-999,52.62,21.43
US-xSR,-999,1,-999,65.93,11.01
US-xST,-999,1,-999,71.44,5.85
US-xSL,-999,1,-999,58.43,13.51
US-xTA,-999,1,-999,87.79,7.09
US-xTE,-999,1,-999,79.63,2.66
US-xTL,-999,1,-999,44.84,18.84
US-xTR,-999,1,-999,85.87,3.58
US-xUK,-999,1,-999,5.39,44.5
US-xUN,-999,1,-999,32.5,13.26
US-xWD,-999,1,-999,84.68,6.3
US-xWR,-999,1,-999,66.69,7.62
US-xYE,-999,1,-999,39.69,20.47
