site_code, pft_f1, pft_c1, pft_f2, pft_c2, pft_f3, pft_c3, pft_f4, pft_c4, pft_f5, pft_c5
AK-BEO, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-BEOG, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-K64G, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-TLG, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-CLG, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-UTQ, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-PRU, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-ICP,100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-ANA, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
AK-BRF, 100.0,12, 0.0, 0, 0.0, 0, 0.0, 0, 0.0, 0
